show_id,platform,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2183,hulu,TV Show,12 Monkeys,,,,"June 15, 2019",2014,TV-14,4 Seasons,"Action, Adventure, Drama","The show follows the journey of a time traveler, Cole, from the post-apocalyptic future. Using a dangerous and untested method of time travel, Cole arrives in the present day on a mission to locate and eradicate the source of a deadly plague that will eventually decimate 93.6% of the human race."
s2184,hulu,TV Show,El Negocio,,,,"June 10, 2019",2014,TV-MA,4 Seasons,"Comedy, Drama, Latino","Three attractive, intelligent women come together with the common goal of revolutionizing the world's oldest profession in this series."
s2186,hulu,TV Show,The Bomber,,,,"June 3, 2019",2019,,1 Season,Documentaries,"For 19 days a man held the city of Austin, Texas, hostage. This is the inside story of how law enforcement put together the clues and tracked down one of the most prolific serial-bombers in United States history."
s2187,hulu,TV Show,The Weekly,,,United States,"June 3, 2019",2019,TV-MA,1 Season,News,"The Weekly brings the unparalleled journalism of The New York Times to the screen for the first time. Each half-hour episode features a Times journalist investigating one of the most pressing issues of the day. With more than 1,550 journalists scattered across 160 countries, the Times produces 2,500 stories a week– investigative reports, political scoops, cultural dispatches. And each week, The Weekly chooses to tell one of these stories in a visual and unforgettable way."
s2190,hulu,TV Show,Blinded by the Lights,,,,"June 1, 2019",2019,TV-MA,1 Season,"Crime, Drama, International",A Warsaw-based cocaine dealer’s perfectly organized life sinks into chaos in this series from Poland.
s2192,hulu,TV Show,Angie Tribeca,,,United States,"May 30, 2019",2016,TV-14,4 Seasons,"Comedy, Sitcom","From the minds of Steve and Nancy Carell comes TBS's hit comedy series Angie Tribeca, starring Rashida Jones as lone-wolf LAPD Detective Angie Tribeca and Hayes MacArthur as her new partner, J. Geils, with whom she shares a will-they-or-won't-they sexual tension. Under the supervision of the apoplectic Captain Atkins (Jere Burns) and with the assistance of Detective Danny Tanner (Deon Cole); his K9 partner, Hoffman (Jagger); and brilliant medical examiner Dr. Monica Scholls (Andrée Vermeulen), Tribeca and Geils investigate the city's most heinous crimes, from the murder of a ventriloquist to a rash of baker suicides."
s2193,hulu,TV Show,Broad City,,,United States,"May 27, 2019",2014,TV-14,5 Seasons,"Comedy, Sitcom","A bottle of wine tastes just as good when you pay with all pennies. That's a fact. And no matter what the city throws at twenty-somethings Abbi and Ilana, these broads are all in. Catch the totally fresh, new series based on the acclaimed digital shorts."
s2194,hulu,TV Show,The Big Valley,,,,"May 25, 2019",1965,TV-PG,4 Seasons,"Action, Adventure, Drama","The Big Valley is the Emmy-winning saga of the Barkleys, set in 1870s California. They're a close-knit family, wealthy and prestigious, but use their power to help the less fortunate homesteaders who struggle for a piece of the new land. The cast features Barbara Stanwyck as the matriarch, Linda Evans as her daughter, and Lee Majors as the stepson. THE BIG VALLEY is riveting drama and exciting action – 112 color hours of television at its finest."
s2196,hulu,TV Show,Baywatch,,,United States,"May 23, 2019",1989,TV-PG,11 Seasons,"Action, Adventure, Classics",Remastered. Join the Baywatch lifeguards on their thrilling adventures filled with beautiful beaches and those iconic red swimsuits.
s2197,hulu,TV Show,Beat Shazam,,,United States,"May 21, 2019",2017,TV-PG,1 Season,"Family, Game Shows, Music","Grammy-, Golden Globe- and Academy Award-winning actor and musician Jamie Foxx (“Ray,” “Django Unchained”) is set to host BEAT SHAZAM, a unique and interactive game show in which teams of two race against the clock and each other as they attempt to identify the biggest hit songs of all time. In the end, the team with the highest score will outlast the competition and go against Shazam, the world’s most popular song identification app, for the chance to win a cash prize. Executive-produced by Mark Burnett (“Survivor,” “The Voice”) and Jeff Apploff (“Don’t Forget the Lyrics!”), the straight-to-series order is scheduled to premiere in Summer 2017 on FOX. Foxx also will serve as an executive producer."
s2199,hulu,TV Show,Catch-22,,,United States,"May 17, 2019",2019,TV-MA,1 Season,Drama,"Based on the acclaimed Joseph Heller novel, Catch-22 follows the adventures and misadventures of a US air squadron in Italy in World War II. Yossarian, a bombardier, whose frantic obsession every time he goes up on a mission is “to come down alive”. His odds of success at such a simple aim keep getting worse because Colonel Cathcart keeps raising the number of missions the men have to fly. More than the retreating Germans, the real enemy for Yossarian and his rag-tag bunch of friends is the bureaucracy of the military, inverting logic at every turn. The pinnacle of this is Catch-22, a military by-law which states that if you fly your missions, you’re crazy, and don’t have to fly them; all you have to do is ask. But if you ask not to, then you’re sane, and so you have to fly them."
